side_a,side_b,win_prob_a
Australia,Portugal,0.566
Australia,Norway,0.491
Australia,South Africa,0.575
Australia,Philippines,0.46
Australia,Malaysia,0.554
Australia,Colombia,0.48
Australia,Iraq,0.365
Australia,Denmark,0.546
Australia,Switzerland,0.486
Australia,Ethiopia,0.437
Australia,Finland,0.492
Australia,Chile,0.574
Australia,Peru,0.492
Spain,United States,0.008
Spain,Russia,0.07
Spain,China,0.044
Spain,India,0.16
Spain,South Korea,0.2
Spain,France,0.346
Spain,Japan,0.473
Spain,United Kingdom,0.345
Spain,Turkiye,0.413
Spain,Italy,0.455
Spain,Brazil,0.456
Spain,Germany,0.369
Spain,Indonesia,0.457
Spain,Pakistan,0.273
Spain,Israel,0.307
Spain,Iran,0.279
Spain,Australia,0.498
Spain,Egypt,0.379
Spain,Ukraine,0.514
Spain,Poland,0.608
Spain,Taiwan,0.372
Spain,Vietnam,0.131
Spain,Thailand,0.453
Spain,Saudi Arabia,0.526
Spain,Sweden,0.515
Spain,Algeria,0.535
Spain,Canada,0.489
Spain,Singapore,0.484
Spain,Greece,0.526
Spain,North Korea,0.322
Spain,Argentina,0.543
Spain,Nigeria,0.501
Spain,Netherlands,0.505
Spain,Myanmar,0.466
Spain,Mexico,0.545
Spain,Bangladesh,0.585
Spain,Portugal,0.559
Spain,Norway,0.481
Spain,South Africa,0.567
Spain,Philippines,0.452
Spain,Malaysia,0.546
Spain,Colombia,0.473
Spain,Iraq,0.355
Spain,Denmark,0.54
Spain,Switzerland,0.477
Spain,Ethiopia,0.427
Spain,Finland,0.485
Spain,Chile,0.567
Spain,Peru,0.485
Egypt,United States,0.011
Egypt,Russia,0.105
Egypt,China,0.066
Egypt,India,0.236
Egypt,South Korea,0.296
Egypt,France,0.471
Egypt,Japan,0.606
Egypt,United Kingdom,0.47
Egypt,Turkiye,0.543
Egypt,Italy,0.588
Egypt,Brazil,0.588
Egypt,Germany,0.496
Egypt,Indonesia,0.588
Egypt,Pakistan,0.388
Egypt,Israel,0.428
Egypt,Iran,0.395
Egypt,Australia,0.63
Egypt,Spain,0.637
Egypt,Ukraine,0.651
Egypt,Poland,0.729
Egypt,Taiwan,0.5
Egypt,Vietnam,0.2
Egypt,Thailand,0.585
Egypt,Saudi Arabia,0.655
Egypt,Sweden,0.646
Egypt,Algeria,0.666
Egypt,Canada,0.62
Egypt,Singapore,0.616
Egypt,Greece,0.655
Egypt,North Korea,0.445
Egypt,Argentina,0.674
Egypt,Nigeria,0.634
Egypt,Netherlands,0.636
Egypt,Myanmar,0.599
Egypt,Mexico,0.675
Egypt,Bangladesh,0.711
Egypt,Portugal,0.688
Egypt,Norway,0.614
Egypt,South Africa,0.695
Egypt,Philippines,0.584
Egypt,Malaysia,0.677
Egypt,Colombia,0.605
Egypt,Iraq,0.483
Egypt,Denmark,0.669
Egypt,Switzerland,0.609
Egypt,Ethiopia,0.561
Egypt,Finland,0.617
Egypt,Chile,0.695
Egypt,Peru,0.619
Ukraine,United States,0.008
Ukraine,Russia,0.069
Ukraine,China,0.042
Ukraine,India,0.158
Ukraine,South Korea,0.202
Ukraine,France,0.349
Ukraine,Japan,0.471
Ukraine,United Kingdom,0.348
Ukraine,Turkiye,0.413
Ukraine,Italy,0.454
Ukraine,Brazil,0.453
Ukraine,Germany,0.372
Ukraine,Indonesia,0.453
Ukraine,Pakistan,0.276
Ukraine,Israel,0.31
Ukraine,Iran,0.282
Ukraine,Australia,0.491
Ukraine,Spain,0.5
Ukraine,Egypt,0.382
Ukraine,Poland,0.598
Ukraine,Taiwan,0.375
Ukraine,Vietnam,0.131
Ukraine,Thailand,0.449
Ukraine,Saudi Arabia,0.516
Ukraine,Sweden,0.508
Ukraine,Algeria,0.526
Ukraine,Canada,0.484
Ukraine,Singapore,0.479
Ukraine,Greece,0.517
Ukraine,North Korea,0.325
Ukraine,Argentina,0.534
Ukraine,Nigeria,0.494
Ukraine,Netherlands,0.498
Ukraine,Myanmar,0.461
Ukraine,Mexico,0.536
Ukraine,Bangladesh,0.576
Ukraine,Portugal,0.549
Ukraine,Norway,0.478
Ukraine,South Africa,0.558
Ukraine,Philippines,0.448
Ukraine,Malaysia,0.537
Ukraine,Colombia,0.468
Ukraine,Iraq,0.359
Ukraine,Denmark,0.53
Ukraine,Switzerland,0.473
Ukraine,Ethiopia,0.426
Ukraine,Finland,0.48
Ukraine,Chile,0.558
Ukraine,Peru,0.48
Poland,United States,0.006
Poland,Russia,0.051
Poland,China,0.032
Poland,India,0.118
Poland,South Korea,0.145
Poland,France,0.263
Poland,Japan,0.377
Poland,United Kingdom,0.262
Poland,Turkiye,0.321
Poland,Italy,0.36
Poland,Brazil,0.361
Poland,Germany,0.283
Poland,Indonesia,0.362
Poland,Pakistan,0.202
Poland,Israel,0.23
Poland,Iran,0.207
Poland,Australia,0.399
Poland,Spain,0.409
Poland,Egypt,0.291
Poland,Ukraine,0.406
Poland,Taiwan,0.286
Poland,Vietnam,0.096
Poland,Thailand,0.359
Poland,Saudi Arabia,0.425
Poland,Sweden,0.418
Poland,Algeria,0.439
Poland,Canada,0.392
Poland,Singapore,0.387
Poland,Greece,0.428
Poland,North Korea,0.243
Poland,Argentina,0.446
Poland,Nigeria,0.404
Poland,Netherlands,0.406
Poland,Myanmar,0.371
Poland,Mexico,0.448
Poland,Bangladesh,0.483
Poland,Portugal,0.46
Poland,Norway,0.385
Poland,South Africa,0.467
Poland,Philippines,0.357
Poland,Malaysia,0.449
Poland,Colombia,0.378
Poland,Iraq,0.271
Poland,Denmark,0.44
Poland,Switzerland,0.381
Poland,Ethiopia,0.335
Poland,Finland,0.39
Poland,Chile,0.467
Poland,Peru,0.39
Taiwan,United States,0.011
Taiwan,Russia,0.109
Taiwan,China,0.068
Taiwan,India,0.241
Taiwan,South Korea,0.302
Taiwan,France,0.478
Taiwan,Japan,0.612
Taiwan,United Kingdom,0.477
Taiwan,Turkiye,0.549
Taiwan,Italy,0.594
Taiwan,Brazil,0.594
Taiwan,Germany,0.503
Taiwan,Indonesia,0.595
Taiwan,Pakistan,0.394
Taiwan,Israel,0.435
Taiwan,Iran,0.402
Taiwan,Australia,0.636
Taiwan,Spain,0.643
Taiwan,Egypt,0.512
Taiwan,Ukraine,0.656
Taiwan,Poland,0.734
Taiwan,Vietnam,0.205
Taiwan,Thailand,0.591
Taiwan,Saudi Arabia,0.66
Taiwan,Sweden,0.652
Taiwan,Algeria,0.672
Taiwan,Canada,0.626
Taiwan,Singapore,0.622
Taiwan,Greece,0.661
Taiwan,North Korea,0.451
Taiwan,Argentina,0.68
Taiwan,Nigeria,0.64
Taiwan,Netherlands,0.642
Taiwan,Myanmar,0.605
Taiwan,Mexico,0.681
Taiwan,Bangladesh,0.716
Taiwan,Portugal,0.693
Taiwan,Norway,0.62
Taiwan,South Africa,0.701
Taiwan,Philippines,0.59
Taiwan,Malaysia,0.683
Taiwan,Colombia,0.611
Taiwan,Iraq,0.489
Taiwan,Denmark,0.675
Taiwan,Switzerland,0.615
Taiwan,Ethiopia,0.567
Taiwan,Finland,0.624
Taiwan,Chile,0.7
Taiwan,Peru,0.625
Vietnam,United States,0.032
Vietnam,Russia,0.308
Vietnam,China,0.2
Vietnam,India,0.562
Vietnam,South Korea,0.636
Vietnam,France,0.793
Vietnam,Japan,0.865
Vietnam,United Kingdom,0.794
Vietnam,Turkiye,0.836
Vietnam,Italy,0.86
Vietnam,Brazil,0.861
Vietnam,Germany,0.809
Vietnam,Indonesia,0.862
Vietnam,Pakistan,0.73
Vietnam,Israel,0.763
Vietnam,Iran,0.734
Vietnam,Australia,0.876
Vietnam,Spain,0.88
Vietnam,Egypt,0.815
Vietnam,Ukraine,0.876
Vietnam,Poland,0.908
Vietnam,Taiwan,0.811
Vietnam,Thailand,0.86
Vietnam,Saudi Arabia,0.884
Vietnam,Sweden,0.883
Vietnam,Algeria,0.889
Vietnam,Canada,0.874
Vietnam,Singapore,0.872
Vietnam,Greece,0.885
Vietnam,North Korea,0.77
Vietnam,Argentina,0.893
Vietnam,Nigeria,0.879
Vietnam,Netherlands,0.879
Vietnam,Myanmar,0.866
Vietnam,Mexico,0.893
Vietnam,Bangladesh,0.904
Vietnam,Portugal,0.897
Vietnam,Norway,0.871
Vietnam,South Africa,0.899
Vietnam,Philippines,0.859
Vietnam,Malaysia,0.894
Vietnam,Colombia,0.869
Vietnam,Iraq,0.802
Vietnam,Denmark,0.89
Vietnam,Switzerland,0.871
Vietnam,Ethiopia,0.848
Vietnam,Finland,0.874
Vietnam,Chile,0.899
Vietnam,Peru,0.874
Thailand,United States,0.009
Thailand,Russia,0.083
Thailand,China,0.051
Thailand,India,0.186
Thailand,South Korea,0.236
Thailand,France,0.396
Thailand,Japan,0.528
Thailand,United Kingdom,0.395
Thailand,Turkiye,0.465
Thailand,Italy,0.509
Thailand,Brazil,0.51
Thailand,Germany,0.42
Thailand,Indonesia,0.51
Thailand,Pakistan,0.318
Thailand,Israel,0.355
Thailand,Iran,0.324
Thailand,Australia,0.554
Thailand,Spain,0.56
Thailand,Egypt,0.43
Thailand,Ukraine,0.571
Thailand,Poland,0.659
Thailand,Taiwan,0.424
Thailand,Vietnam,0.155
Thailand,Saudi Arabia,0.58
Thailand,Sweden,0.569
Thailand,Algeria,0.589
Thailand,Canada,0.543
Thailand,Singapore,0.539
Thailand,Greece,0.579
Thailand,North Korea,0.37
Thailand,Argentina,0.597
Thailand,Nigeria,0.555
Thailand,Netherlands,0.559
Thailand,Myanmar,0.52
Thailand,Mexico,0.599
Thailand,Bangladesh,0.637
Thailand,Portugal,0.612
Thailand,Norway,0.537
Thailand,South Africa,0.62
Thailand,Philippines,0.505
Thailand,Malaysia,0.6
Thailand,Colombia,0.526
Thailand,Iraq,0.405
Thailand,Denmark,0.593
Thailand,Switzerland,0.532
Thailand,Ethiopia,0.481
Thailand,Finland,0.54
Thailand,Chile,0.62
Thailand,Peru,0.54
Saudi Arabia,United States,0.007
Saudi Arabia,Russia,0.066
Saudi Arabia,China,0.041
Saudi Arabia,India,0.152
Saudi Arabia,South Korea,0.19
Saudi Arabia,France,0.331
Saudi Arabia,Japan,0.457
Saudi Arabia,United Kingdom,0.33
Saudi Arabia,Turkiye,0.397
Saudi Arabia,Italy,0.439
Saudi Arabia,Brazil,0.44
Saudi Arabia,Germany,0.354
Saudi Arabia,Indonesia,0.441
Saudi Arabia,Pakistan,0.26
Saudi Arabia,Israel,0.294
Saudi Arabia,Iran,0.266
Saudi Arabia,Australia,0.479
Saudi Arabia,Spain,0.487
Saudi Arabia,Egypt,0.364
Saudi Arabia,Ukraine,0.495
Saudi Arabia,Poland,0.589
Saudi Arabia,Taiwan,0.357
Saudi Arabia,Vietnam,0.124
Saudi Arabia,Thailand,0.437
Saudi Arabia,Sweden,0.495
Saudi Arabia,Algeria,0.515
Saudi Arabia,Canada,0.472
Saudi Arabia,Singapore,0.467
Saudi Arabia,Greece,0.505
Saudi Arabia,North Korea,0.308
Saudi Arabia,Argentina,0.524
Saudi Arabia,Nigeria,0.48
Saudi Arabia,Netherlands,0.485
Saudi Arabia,Myanmar,0.448
Saudi Arabia,Mexico,0.525
Saudi Arabia,Bangladesh,0.566
Saudi Arabia,Portugal,0.54
Saudi Arabia,Norway,0.465
Saudi Arabia,South Africa,0.548
Saudi Arabia,Philippines,0.435
Saudi Arabia,Malaysia,0.527
Saudi Arabia,Colombia,0.455
Saudi Arabia,Iraq,0.34
Saudi Arabia,Denmark,0.519
Saudi Arabia,Switzerland,0.461
Saudi Arabia,Ethiopia,0.412
Saudi Arabia,Finland,0.467
Saudi Arabia,Chile,0.548
Saudi Arabia,Peru,0.466
Sweden,United States,0.008
Sweden,Russia,0.068
Sweden,China,0.042
Sweden,India,0.156
Sweden,South Korea,0.194
Sweden,France,0.338
Sweden,Japan,0.464
Sweden,United Kingdom,0.337
Sweden,Turkiye,0.404
Sweden,Italy,0.446
Sweden,Brazil,0.447
Sweden,Germany,0.36
Sweden,Indonesia,0.448
Sweden,Pakistan,0.266
Sweden,Israel,0.3
Sweden,Iran,0.272
Sweden,Australia,0.487
Sweden,Spain,0.497
Sweden,Egypt,0.37
Sweden,Ukraine,0.503
Sweden,Poland,0.599
Sweden,Taiwan,0.364
Sweden,Vietnam,0.128
Sweden,Thailand,0.444
Sweden,Saudi Arabia,0.517
Sweden,Algeria,0.526
Sweden,Canada,0.48
Sweden,Singapore,0.475
Sweden,Greece,0.516
Sweden,North Korea,0.314
Sweden,Argentina,0.534
Sweden,Nigeria,0.491
Sweden,Netherlands,0.495
Sweden,Myanmar,0.457
Sweden,Mexico,0.536
Sweden,Bangladesh,0.575
Sweden,Portugal,0.55
Sweden,Norway,0.472
Sweden,South Africa,0.557
Sweden,Philippines,0.443
Sweden,Malaysia,0.537
Sweden,Colombia,0.465
Sweden,Iraq,0.347
Sweden,Denmark,0.53
Sweden,Switzerland,0.468
Sweden,Ethiopia,0.418
Sweden,Finland,0.477
Sweden,Chile,0.557
Sweden,Peru,0.476
Algeria,United States,0.007
Algeria,Russia,0.063
Algeria,China,0.039
Algeria,India,0.145
Algeria,South Korea,0.181
Algeria,France,0.319
Algeria,Japan,0.443
Algeria,United Kingdom,0.318
Algeria,Turkiye,0.383
Algeria,Italy,0.425
Algeria,Brazil,0.426
Algeria,Germany,0.341
Algeria,Indonesia,0.427
Algeria,Pakistan,0.25
Algeria,Israel,0.282
Algeria,Iran,0.255
Algeria,Australia,0.466
Algeria,Spain,0.476
Algeria,Egypt,0.351
Algeria,Ukraine,0.478
Algeria,Poland,0.58
Algeria,Taiwan,0.344
Algeria,Vietnam,0.119
Algeria,Thailand,0.423
Algeria,Saudi Arabia,0.493
Algeria,Sweden,0.486
Algeria,Canada,0.459
Algeria,Singapore,0.454
Algeria,Greece,0.495
Algeria,North Korea,0.296
Algeria,Argentina,0.515
Algeria,Nigeria,0.471
Algeria,Netherlands,0.473
Algeria,Myanmar,0.436
Algeria,Mexico,0.517
Algeria,Bangladesh,0.556
Algeria,Portugal,0.53
Algeria,Norway,0.451
Algeria,South Africa,0.538
Algeria,Philippines,0.422
Algeria,Malaysia,0.518
Algeria,Colombia,0.444
Algeria,Iraq,0.328
Algeria,Denmark,0.51
Algeria,Switzerland,0.447
Algeria,Ethiopia,0.398
Algeria,Finland,0.456
Algeria,Chile,0.538
Algeria,Peru,0.457
Canada,United States,0.008
Canada,Russia,0.075
Canada,China,0.047
Canada,India,0.17
Canada,South Korea,0.212
Canada,France,0.362
Canada,Japan,0.491
Canada,United Kingdom,0.361
Canada,Turkiye,0.43
Canada,Italy,0.473
Canada,Brazil,0.474
Canada,Germany,0.386
Canada,Indonesia,0.474
Canada,Pakistan,0.287
Canada,Israel,0.323
Canada,Iran,0.294
Canada,Australia,0.517
Canada,Spain,0.523
Canada,Egypt,0.396
Canada,Ukraine,0.533
Canada,Poland,0.624
Canada,Taiwan,0.389
Canada,Vietnam,0.139
Canada,Thailand,0.47
Canada,Saudi Arabia,0.544
Canada,Sweden,0.532
Canada,Algeria,0.552
Canada,Singapore,0.502
Canada,Greece,0.543
Canada,North Korea,0.338
Canada,Argentina,0.561
Canada,Nigeria,0.518
Canada,Netherlands,0.522
Canada,Myanmar,0.482
Canada,Mexico,0.562
Canada,Bangladesh,0.602
Canada,Portugal,0.576
Canada,Norway,0.5
Canada,South Africa,0.584
Canada,Philippines,0.468
Canada,Malaysia,0.564
Canada,Colombia,0.489
Canada,Iraq,0.371
Canada,Denmark,0.557
Canada,Switzerland,0.494
Canada,Ethiopia,0.445
Canada,Finland,0.502
Canada,Chile,0.584
Canada,Peru,0.502
Singapore,United States,0.008
Singapore,Russia,0.076
Singapore,China,0.047
Singapore,India,0.172
Singapore,South Korea,0.215
Singapore,France,0.367
Singapore,Japan,0.496
Singapore,United Kingdom,0.366
Singapore,Turkiye,0.435
Singapore,Italy,0.478
Singapore,Brazil,0.478
Singapore,Germany,0.391
Singapore,Indonesia,0.478
Singapore,Pakistan,0.292
Singapore,Israel,0.327
Singapore,Iran,0.298
Singapore,Australia,0.521
Singapore,Spain,0.528
Singapore,Egypt,0.401
Singapore,Ukraine,0.539
Singapore,Poland,0.629
Singapore,Taiwan,0.394
Singapore,Vietnam,0.141
Singapore,Thailand,0.474
Singapore,Saudi Arabia,0.548
Singapore,Sweden,0.537
Singapore,Algeria,0.557
Singapore,Canada,0.511
Singapore,Greece,0.547
Singapore,North Korea,0.342
Singapore,Argentina,0.566
Singapore,Nigeria,0.522
Singapore,Netherlands,0.526
Singapore,Myanmar,0.487
Singapore,Mexico,0.567
Singapore,Bangladesh,0.607
Singapore,Portugal,0.581
Singapore,Norway,0.504
Singapore,South Africa,0.59
Singapore,Philippines,0.473
Singapore,Malaysia,0.569
Singapore,Colombia,0.494
Singapore,Iraq,0.376
Singapore,Denmark,0.561
Singapore,Switzerland,0.499
Singapore,Ethiopia,0.449
Singapore,Finland,0.507
Singapore,Chile,0.589
Singapore,Peru,0.507
Greece,United States,0.007
Greece,Russia,0.066
Greece,China,0.041
Greece,India,0.151
Greece,South Korea,0.188
Greece,France,0.329
Greece,Japan,0.455
Greece,United Kingdom,0.328
Greece,Turkiye,0.394
Greece,Italy,0.437
Greece,Brazil,0.437
Greece,Germany,0.352
Greece,Indonesia,0.438
Greece,Pakistan,0.258
Greece,Israel,0.292
Greece,Iran,0.264
Greece,Australia,0.477
Greece,Spain,0.488
Greece,Egypt,0.361
Greece,Ukraine,0.492
Greece,Poland,0.589
Greece,Taiwan,0.355
Greece,Vietnam,0.123
Greece,Thailand,0.435
Greece,Saudi Arabia,0.506
Greece,Sweden,0.496
Greece,Algeria,0.515
Greece,Canada,0.47
Greece,Singapore,0.465
Greece,North Korea,0.306
Greece,Argentina,0.524
Greece,Nigeria,0.481
Greece,Netherlands,0.485
Greece,Myanmar,0.447
Greece,Mexico,0.526
Greece,Bangladesh,0.566
Greece,Portugal,0.539
Greece,Norway,0.462
Greece,South Africa,0.547
Greece,Philippines,0.433
Greece,Malaysia,0.527
Greece,Colombia,0.455
Greece,Iraq,0.338
Greece,Denmark,0.52
Greece,Switzerland,0.458
Greece,Ethiopia,0.409
Greece,Finland,0.467
Greece,Chile,0.547
Greece,Peru,0.467
North Korea,United States,0.013
North Korea,Russia,0.128
North Korea,China,0.081
North Korea,India,0.284
North Korea,South Korea,0.351
North Korea,France,0.538
North Korea,Japan,0.666
North Korea,United Kingdom,0.538
North Korea,Turkiye,0.606
North Korea,Italy,0.649
North Korea,Brazil,0.651
North Korea,Germany,0.563
North Korea,Indonesia,0.652
North Korea,Pakistan,0.449
North Korea,Israel,0.494
North Korea,Iran,0.456
North Korea,Australia,0.69
North Korea,Spain,0.697
North Korea,Egypt,0.569
North Korea,Ukraine,0.706
North Korea,Poland,0.779
North Korea,Taiwan,0.563
North Korea,Vietnam,0.243
North Korea,Thailand,0.649
North Korea,Saudi Arabia,0.713
North Korea,Sweden,0.706
North Korea,Algeria,0.723
North Korea,Canada,0.682
North Korea,Singapore,0.677
North Korea,Greece,0.714
North Korea,Argentina,0.73
North Korea,Nigeria,0.694
North Korea,Netherlands,0.696
North Korea,Myanmar,0.662
North Korea,Mexico,0.732
North Korea,Bangladesh,0.763
North Korea,Portugal,0.743
North Korea,Norway,0.675
North Korea,South Africa,0.749
North Korea,Philippines,0.648
North Korea,Malaysia,0.733
North Korea,Colombia,0.668
North Korea,Iraq,0.548
North Korea,Denmark,0.726
North Korea,Switzerland,0.671
North Korea,Ethiopia,0.626
North Korea,Finland,0.679
North Korea,Chile,0.749
North Korea,Peru,0.68
Argentina,United States,0.007
Argentina,Russia,0.062
Argentina,China,0.038
Argentina,India,0.143
Argentina,South Korea,0.177
Argentina,France,0.313
Argentina,Japan,0.436
Argentina,United Kingdom,0.312
Argentina,Turkiye,0.377
Argentina,Italy,0.418
Argentina,Brazil,0.419
Argentina,Germany,0.334
Argentina,Indonesia,0.42
Argentina,Pakistan,0.244
Argentina,Israel,0.276
Argentina,Iran,0.25
Argentina,Australia,0.458
Argentina,Spain,0.469
Argentina,Egypt,0.344
Argentina,Ukraine,0.469
Argentina,Poland,0.572
Argentina,Taiwan,0.338
Argentina,Vietnam,0.117
Argentina,Thailand,0.416
Argentina,Saudi Arabia,0.485
Argentina,Sweden,0.478
Argentina,Algeria,0.498
Argentina,Canada,0.451
Argentina,Singapore,0.446
Argentina,Greece,0.488
Argentina,North Korea,0.29
Argentina,Nigeria,0.464
Argentina,Netherlands,0.466
Argentina,Myanmar,0.429
Argentina,Mexico,0.508
Argentina,Bangladesh,0.547
Argentina,Portugal,0.522
Argentina,Norway,0.444
Argentina,South Africa,0.529
Argentina,Philippines,0.415
Argentina,Malaysia,0.509
Argentina,Colombia,0.437
Argentina,Iraq,0.321
Argentina,Denmark,0.501
Argentina,Switzerland,0.439
Argentina,Ethiopia,0.391
Argentina,Finland,0.449
Argentina,Chile,0.53
Argentina,Peru,0.449
Nigeria,United States,0.008
Nigeria,Russia,0.071
Nigeria,China,0.044
Nigeria,India,0.161
Nigeria,South Korea,0.203
Nigeria,France,0.351
Nigeria,Japan,0.479
Nigeria,United Kingdom,0.35
Nigeria,Turkiye,0.418
Nigeria,Italy,0.461
Nigeria,Brazil,0.461
Nigeria,Germany,0.374
Nigeria,Indonesia,0.462
Nigeria,Pakistan,0.277
Nigeria,Israel,0.312
Nigeria,Iran,0.283
Nigeria,Australia,0.501
Nigeria,Spain,0.512
Nigeria,Egypt,0.384
Nigeria,Ukraine,0.517
Nigeria,Poland,0.613
Nigeria,Taiwan,0.377
Nigeria,Vietnam,0.132
Nigeria,Thailand,0.459
Nigeria,Saudi Arabia,0.53
Nigeria,Sweden,0.521
Nigeria,Algeria,0.54
Nigeria,Canada,0.494
Nigeria,Singapore,0.489
Nigeria,Greece,0.531
Nigeria,North Korea,0.327
Nigeria,Argentina,0.549
Nigeria,Netherlands,0.509
Nigeria,Myanmar,0.472
Nigeria,Mexico,0.551
Nigeria,Bangladesh,0.589
Nigeria,Portugal,0.564
Nigeria,Norway,0.486
Nigeria,South Africa,0.572
Nigeria,Philippines,0.457
Nigeria,Malaysia,0.552
Nigeria,Colombia,0.48
Nigeria,Iraq,0.36
Nigeria,Denmark,0.545
Nigeria,Switzerland,0.482
Nigeria,Ethiopia,0.433
Nigeria,Finland,0.492
Nigeria,Chile,0.572
Nigeria,Peru,0.492
Netherlands,United States,0.008
Netherlands,Russia,0.071
Netherlands,China,0.044
Netherlands,India,0.162
Netherlands,South Korea,0.202
Netherlands,France,0.349
Netherlands,Japan,0.477
Netherlands,United Kingdom,0.348
Netherlands,Turkiye,0.416
Netherlands,Italy,0.458
Netherlands,Brazil,0.459
Netherlands,Germany,0.372
Netherlands,Indonesia,0.46
Netherlands,Pakistan,0.276
Netherlands,Israel,0.31
Netherlands,Iran,0.282
Netherlands,Australia,0.501
Netherlands,Spain,0.508
Netherlands,Egypt,0.382
Netherlands,Ukraine,0.516
Netherlands,Poland,0.609
Netherlands,Taiwan,0.375
Netherlands,Vietnam,0.132
